Postcode,Title Number,Tenure,Property Address,District,County,Region,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator,Matching Address,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE,Ofgem industry,Energy intensity,Consumption (kWh)
EC4A 3DL,NGL237689,Freehold,"2-3 Hind Court, London (EC4A 3DL)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,1250000.0,ILCHESTER TRUSTEE COMPANY LIMITED,4477554,Limited Company or Public Limited Company,"Ilchester Estates, The Estate Office, Melbury Sampford, Dorchester, Dorset DT2 0LF",,,,,,,,,,,,,,,,,,,,,25-06-2004,Y,2-3 Hind Court,38795634252010090418361605009460,,2-3 Hind Court,,EC4A 3DL,408245560000,88,D,Office,2010-07-27,E09000001,E14000639,Greater London Authority,2010-09-04,Mandatory issue (Property to let).,37,75,4,Natural Gas,,,,581,37.5,27.64,56.36,66.12,Yes,,2.0,5.0,Heating and Natural Ventilation,City of London,Cities of London and Westminster,LONDON,2010-09-04 18:36:16,,100022935915.0,Address Matched,Offices,59,34279
EC4A 3DQ,109710,Freehold,"10 Bolt Court, London (EC4A 3DQ)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,3200000.0,THE LONDON DIOCESAN FUND,00150856,Corporate Body,"London Diocesan House, 36 Causton Street, London SW1P 4AU",,,,,,,,,,,,,,,,,,,,,30-11-2017,N,10 Bolt Court,125047481032019071916511229000294,,10 Bolt Court,,EC4A 3DQ,840922480000,71,C,B1 Offices and Workshop businesses,2019-05-22,E09000001,E14000639,Greater London Authority,2019-07-19,Mandatory issue (Property to let).,29,86,3,Natural Gas,,,,465,31.22,18.34,53.74,44.33,No,,2.0,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2019-07-19 16:51:12,258.0,95506865.0,Address Matched,Offices,59,27435
EC4A 3DW,LN68019,Freehold,"12 Gough Square, London (EC4A 3DW)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,24380692.0,"CITY, WEST END & SUBURBAN SHOP PROPERTY COMPANY LIMITED",01075332,Limited Company or Public Limited Company,"14 Hans Road, London SW3 1RT",,,,,,,,,,,,,,,,,,,,,13-10-2016,N,12 Gough Square,9670586052009012619030302900760,,12 Gough Square,,EC4A 3DW,703562460000,85,D,Office,2008-10-08,E09000001,E14000639,Greater London Authority,2009-01-26,Mandatory issue (Property to let).,57,129,4,Natural Gas,,,,4224,33.48,30.15,88.34,62.07,Yes,,2.0,5.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2009-01-26 19:03:03,362.0,,,Offices,59,249216
EC4A 3EB,NGL812876,Freehold,"1-3 Red Lion Court, London (EC4A 3EB)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,4450000.0,MDDUS PROPERTY LIMITED,SC426947,Limited Company or Public Limited Company,"Mackintosh House, 120 Blythswood Street, Glasgow G2 4EA",,,,,,,,,,,,,,,,,,,,,18-06-2018,N,1-3 Red Lion Court,26767510962009112010405587990630,,1-3 Red Lion Court,,EC4A 3EB,388415730000,79,D,Office,2009-11-16,E09000001,E14000639,Greater London Authority,2009-11-20,,50,112,3,Natural Gas,,,,433,,,,,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2009-11-20 10:40:55,,,,Offices,59,25547
EC4A 3TW,AGL394339,Leasehold,"5 New Street Square, London (EC4A 3TW)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,OPUS 2 INTERNATIONAL LIMITED,05907841,Limited Company or Public Limited Company,"Winton House, 16 Blackhills, Surrey KT10 9JW",,,,,,,,,,,,,,,,,,,,,03-11-2016,N,5 New Street Square,2741190042018101509120147700910,,5 New Street Square,,EC4A 3BF,105049740000,93,D,B1 Offices and Workshop businesses,2018-09-13,E09000001,E14000639,Greater London Authority,2018-10-15,Mandatory issue (Property to let).,36,104,5,Grid Supplied Electricity,,,,26465,26.55,18.85,55.24,49.28,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2018-10-15 09:12:01,291.0,,,Offices,59,1561435
EC4A 4AD,AGL242718,Leasehold,"10 St Bride Street, London (EC4A 4AD)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,GOODMAN DERRICK LLP,321066,Unlimited Company,"90 Fetter Lane, London EC4A 1PT","90 Fetter Lane, London EC4A 1PT",,,,,,,,,,,,,,,,,,,,26-10-2011,N,10 St Bride Street,17264553052019100719320409009120,,10 St Bride Street,,EC4A 4AD,109639520000,62,C,B1 Offices and Workshop businesses,2019-09-05,E09000001,E14000639,Greater London Authority,2019-10-07,Mandatory issue (Marketed sale).,37,108,4,Grid Supplied Electricity,,,,6233,33.85,24.98,73.2,41.96,No,,3.0,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2019-10-07 19:32:04,248.0,,,Offices,59,367747
EC4A 4AN,AGL312625,Leasehold,"41a Farringdon Street, London (EC4A 4AN)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,THE WINEMAKERS CLUB 2000 LIMITED,03975036,Limited Company or Public Limited Company,"41a Farringdon Street, London EC4A 4AN","Rosebank Cottage, Vann Lane, Chiddingfold, Godalming GU8 4XU",,,,,,,,,,,,,,,,,,,,22-05-2014,N,41a Farringdon Street,8fb30dc9213d0397d2359d75076fac6232273b7638d7aa5f2c0cfcc43bc1fda4,41a Farringdon Street,41a Farringdon Street,,EC4A 4AN,10004378221,49,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2023-09-27,E09000001,E14000639,Greater London Authority,2023-10-19,Voluntary (No legal requirement for an EPC).,15,62,4,Grid Supplied Electricity,,,,990,23.98,7.37,29.56,23.57,No,,,4.0,Heating and Natural Ventilation,City of London,Cities of London and Westminster,LONDON,2023-10-19 08:38:38,250.0,,,Hospitality,111,109890
EC4A 4EA,NGL153721,Leasehold,"30 Farringdon Street, London (EC4A 4EA)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,REED ELSEVIER (UK) LIMITED,2746621,Limited Company or Public Limited Company,"Grand Buildings 1-3, Strand, London WC2N 5JR","Quadrant House, The Quadrant, Brighton Road, Sutton SM2 5AS",,,,,,,,,,,,,,,,,,,,12-04-2010,N,30 Farringdon Street,34922919252014020714375608009660,,30 Farringdon Street,,EC4A 4HH,604698860000,43,B,B1 Offices and Workshop businesses,2014-01-29,E09000001,E14000639,Greater London Authority,2014-02-07,Mandatory issue (Property to let).,28,75,3,Natural Gas,,,,7628,23.77,13.41,35.76,20.44,No,,2.0,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2014-02-07 14:37:56,,100022935962.0,Address Matched,Offices,59,450052
EC4A 4HH,NGL382177,Freehold,"30 Farringdon Street, London (EC4A 4HH)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,37500000.0,PPF REAL ESTATE NOMINEE 1 LIMITED,07994436,Limited Company or Public Limited Company,"2 Temple Back East, Bristol BS1 6EG",,,PPF REAL ESTATE NOMINEE 2 LIMITED,07994476,Limited Company or Public Limited Company,"2 Temple Back East, Bristol BS1 6EG",,,,,,,,,,,,,,,22-12-2021,N,30 Farringdon Street,34922919252014020714375608009660,,30 Farringdon Street,,EC4A 4HH,604698860000,43,B,B1 Offices and Workshop businesses,2014-01-29,E09000001,E14000639,Greater London Authority,2014-02-07,Mandatory issue (Property to let).,28,75,3,Natural Gas,,,,7628,23.77,13.41,35.76,20.44,No,,2.0,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2014-02-07 14:37:56,,100022935962.0,Address Matched,Offices,59,450052
EC4M 6XD,LN131353,Freehold,"20 Cannon Street, London (EC4M 6XD)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,THE MAYOR AND COMMONALTY AND CITIZENS OF THE CITY OF LONDON,,Local Authority,"Guildhall, P O Box 270, London EC2P 2EJ",,,,,,,,,,,,,,,,,,,,,11-10-1955,N,20 Cannon Street,a99775f582a1a543c3cfb6d18dde7803cfd4a1adc6df467b1e895d55f29291aa,20 Cannon Street,20 Cannon Street,,EC4M 6XD,10004939502,44,B,Offices and Workshop Businesses,2023-01-26,E09000001,E14000639,Greater London Authority,2023-08-21,Mandatory issue (Property to let).,8,32,4,Natural Gas,,,,3650,24.38,3.85,15.42,21.6,Yes,,2.0,3.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2023-08-21 14:43:26,163.0,100022936004.0,Address Matched,Offices,59,215350
EC4M 6XH,AGL486105,Leasehold,"First Floor, 30 Cannon Street, London (EC4M 6XH)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,BMI HEALTHCARE LIMITED,02164270,Limited Company or Public Limited Company,"30 Cannon Street, London EC4M 6XH",,,,,,,,,,,,,,,,,,,,,23-08-2019,N,"First Floor, 30 Cannon Street",af7fa28618606e9fc6cde8b9e8ec6a78b779391bb3961892e969b61859915400,First Floor,30 Cannon Street,,EC4M 6XH,10002952445,64,C,B1 Offices and Workshop businesses,2022-03-28,E09000001,E14000639,,2022-04-20,Mandatory issue (Marketed sale),43,127,3,Natural Gas,,,,1134,27.41,23.75,69.6,35.14,Yes,,2.0,1.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2022-04-20 14:56:53,206.0,,,Offices,59,66906
EC4M 6XX,AGL467718,Leasehold,"2-6 Cannon Street, London (EC4M 6XX)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,FIL INVESTMENT MANAGEMENT LIMITED,02349713,Limited Company or Public Limited Company,"25 Cannon Street, London EC4M 5TA",,,,,,,,,,,,,,,,,,,,,06-02-2019,N,2-6 Cannon Street,6722100842008121716460502709990,,2-6 Cannon Street,,EC4M 6YH,282800700000,57,C,Office,2008-11-12,E09000001,E14000639,Greater London Authority,2008-12-17,Mandatory issue (Non-marketed sale).,50,115,4,Natural Gas,,,,11910,33.07,26.1,69.61,20.14,Yes,,3.0,1.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2008-12-17 16:46:05,118.0,,,Offices,59,702690
EC4M 6YQ,AGL471853,Leasehold,"30 Cannon Street, London (EC4M 6YQ)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,SIX PHYSIO LIMITED,06293080,Limited Company or Public Limited Company,"4 Prince Albert Road, London NW1 7SN",,,,,,,,,,,,,,,,,,,,,25-03-2019,N,30 Cannon Street,2894110142008102711162214600980,,30 Cannon Street,,EC4M 6XH,614881610000,137,F,Office,2008-08-14,E09000001,E14000639,Greater London Authority,2008-10-27,,55,123,4,Natural Gas,,,,8528,,,,,,,,,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2008-10-27 11:16:22,,,,Offices,59,503152
EC4M 7AS,NGL763237,Freehold,"6-7 Ludgate Square, London (EC4M 7AS)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,9788659.0,LUDGATE SQUARE LIMITED,11060641,Limited Company or Public Limited Company,"Elizabeth House, 39 York Road, London SE1 7NQ",,,,,,,,,,,,,,,,,,,,,28-11-2017,N,6-7 Ludgate Square,32426250742010031615103185100070,,6-7 Ludgate Square,,EC4M 7AS,270765180000,118,E,Office,2010-03-05,E09000001,E14000639,Greater London Authority,2010-03-16,Mandatory issue (Property to let).,39,77,3,Natural Gas,,,,569,44.26,34.56,68.1,104.89,Yes,11.0,,4.0,Heating and Natural Ventilation,City of London,Cities of London and Westminster,LONDON,2010-03-16 15:10:31,,95514665.0,Address Matched,Offices,59,33571
EC4M 7AW,AGL388651,Leasehold,"54 Ludgate Hill, London (EC4M 7AW)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,CHARLES TYRWHITT SHIRTS LIMITED,02914928,Limited Company or Public Limited Company,"First Floor, Cottons Centre, Cottons Lane, London SE1 1QG",,,,,,,,,,,,,,,,,,,,,09-09-2016,N,54 Ludgate Hill,99998225032015031210245891000696,,54 Ludgate Hill,,EC4M 7AW,263164880000,30,B,B1 Offices and Workshop businesses,2015-03-11,E09000001,E14000639,Greater London Authority,2015-03-12,Mandatory issue (Marketed sale).,39,104,5,Natural Gas,,,,541,86.28,67.21,179.22,51.33,Yes,,3.0,5.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2015-03-12 10:24:58,,95513611.0,Address Matched,Offices,59,31919
EC4M 7BP,AGL286723,Leasehold,"St. Pauls House, 8-12 Warwick Lane, London (EC4M 7BP)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,CO-OPERATIVE GROUP LIMITED,IP00525R,Industrial and Provident Society (Company),"1 Angel Square, Manchester M60 0AG",,,,,,,,,,,,,,,,,,,,,25-06-2013,N,"St. Pauls House, 8-12 Warwick Lane",8d5a99b794f6f0030b7c19982017763b6ceb9bfddef4cfecafca3e223acb3b97,,St. Pauls House,8-12 Warwick Lane,EC4M 7BP,159285420000,39,B,B1 Offices and Workshop businesses,2012-06-29,E09000001,E14000639,Greater London Authority,2012-09-12,Voluntary (No legal requirement for an EPC).,32,87,5,Grid Supplied Electricity,,,,3886,27.87,18.11,48.28,21.98,No,,2.0,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2012-09-12,,,,Offices,59,229274
EC4M 7DX,AGL279407,Leasehold,"Unit 8, 1 Paternoster Square, London (EC4M 7DX)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,ARTIGIANO ESPRESSO BARS LIMITED,08202578,Limited Company or Public Limited Company,"1 Colleton Crescent, Exeter EX2 4DG",,,,,,,,,,,,,,,,,,,,,18-07-2017,N,"Unit 8, 1 Paternoster Square",5b332c2ae5f054fb86d19d8952e21ee1b54d262857892eed567e73d0a8e5988e,Unit 8,1 Paternoster Square,Paternoster Square,EC4M 7DX,288707800003,28,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2023-05-02,E09000001,E14000639,,2023-05-03,Mandatory issue (Property to let).,16,66,3,Grid Supplied Electricity,,,,222,55.41,18.12,72.65,31.37,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,London,2023-05-04 08:39:47,340.0,,,Hospitality,111,24642
EC4M 7HP,AGL281917,Leasehold,"Unit 4, St Martin's Court, Paternoster Square, London (EC4M 7HP)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,TENFOUR VENTURES LIMITED,07264480,Limited Company or Public Limited Company,"Second Floor, Cardiff House, Tilling Road, London NW2 1LT",,,,,,,,,,,,,,,,,,,,,18-04-2013,N,"Unit 4, St Martin's Court, Paternoster Square",44636a4e02b522a54f29e56007087d47d02eeb411170148517ad48e39bbbeee2,Unit 4,St Martin's Court,Paternoster Square,EC4M 7DX,10004816064,80,D,Restaurants and Cafes/Drinking Establishments/Takeaways,2023-05-22,E09000001,E14000639,,2023-07-20,Mandatory issue (Marketed sale),16,66,3,Grid Supplied Electricity,,,,116,25.36,8.29,33.26,40.75,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,London,2023-07-20 09:17:33,441.0,100022936012.0,Address Matched,Hospitality,111,12876
EC4M 7JN,AGL279690,Leasehold,"41-43 Ludgate Hill, London (EC4M 7JN)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,GREGGS PLC,502851,Limited Company or Public Limited Company,"Greggs House, Quorum Business Park, Newcastle upon Tyne NE12 8BU","Pearl & Coutts Limited, Third Floor, 9 White Lion Street, London N1 9PD",,,,,,,,,,,,,,,,,,,,19-03-2013,N,41-43 Ludgate Hill,212b267fa73dd64bcbaea1dcf1f9ca03cd58d9064c6e46b3d8747592750fb920,41-43 Ludgate Hill,35 Ludgate Hill,,EC4M 7JN,10004235800,49,B,Restaurants and Cafes/Drinking Establishments/Takeaways,2023-03-22,E09000001,E14000639,Greater London Authority,2023-03-22,Mandatory issue (Property to let).,20,79,3,Grid Supplied Electricity,,,,179,40.77,16.03,64.28,40.3,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2023-03-25 09:51:09,434.0,200000070403.0,Energy Assessor,Hospitality,111,19869
EC4M 7JW,AGL508656,Leasehold,"Procession House, 55 Ludgate Hill, London (EC4M 7JW)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,CROWE UK LLP,OC307043,Limited Liability Partnership,"Procession House, 55 Ludgate Hill, London EC4M 7JW",,,,,,,,,,,,,,,,,,,,,26-05-2020,N,"Procession House, 55 Ludgate Hill",67211540062012070407170117260820,,Procession House,55 Ludgate Hill,EC4 7JW,213341740000,100,D,B1 Offices and Workshop businesses,2012-06-28,E09000001,E14000639,Greater London Authority,2012-07-04,Mandatory issue (Property to let).,43,114,4,Natural Gas,,,,12772,27.95,23.82,63.53,55.9,Yes,,3.0,5.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2012-07-04 07:17:01,,200000070414.0,Address Matched,Offices,59,753548
EC4M 7NG,AGL340208,Leasehold,"10 Old Bailey, London (EC4M 7NG)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,GENERAL OPTICAL COUNCIL,03710864,Corporate Body,"10 Old Bailey, London EC4M 7NG",,,,,,,,,,,,,,,,,,,,,15-04-2015,N,10 Old Bailey,01f5374563d6243f7f1f40fb0b5f367a60ea2af5add34666c78dfb3c8df35932,10 Old Bailey,10 Old Bailey,,EC4M 7NG,10004074350,49,B,Offices and Workshop Businesses,2023-01-31,E09000001,E14000639,Greater London Authority,2023-02-07,Voluntary (No legal requirement for an EPC).,16,63,4,Grid Supplied Electricity,,,,8889,8.61,2.72,10.92,8.48,Yes,,2.0,5.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2023-02-07 11:47:51,92.0,95509885.0,Energy Assessor,Offices,59,524451
EC4M 7NJ,AGL276187,Leasehold,"100 Ludgate Hill, London (EC4M 7NJ)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,SANTANDER UK PLC,02294747,Limited Company or Public Limited Company,"2 Triton Square, Regent's Place, London NW1 3AN",,,,,,,,,,,,,,,,,,,,,30-01-2013,N,100 Ludgate Hill,72952100442012111617123422009990,100 Ludgate Hill,100 Ludgate Hill,,EC4M 7RE,340960020000,199,G,B1 Offices and Workshop businesses,2012-11-12,E09000001,E14000639,Greater London Authority,2012-11-16,Mandatory issue (Property to let).,49,129,4,Natural Gas,,,,7947,32.45,31.51,84.03,129.23,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2012-11-16 17:12:34,233.0,100022936040.0,Address Matched,Offices,59,468873
EC4M 7RB,AGL566087,Leasehold,"10 Fleet Place, London (EC4M 7RB)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,HOGAN LOVELLS INTERNATIONAL LLP,OC323639,Limited Liability Partnership,"Atlantic House, 50 Holborn Viaduct, London EC1A 2FG",,,,,,,,,,,,,,,,,,,,,23-05-2022,N,10 Fleet Place,111102600022019032216202818020370,10 Fleet Place,10 Fleet Place,,EC4M 7RB,712707880000,94,D,B1 Offices and Workshop businesses,2019-02-07,E09000001,E14000639,Greater London Authority,2019-03-22,Mandatory issue (Property to let).,40,118,5,Natural Gas,,,,20681,25.58,20.65,60.5,48.24,No,,3.0,4.0,Heating and Mechanical Ventilation,City of London,Cities of London and Westminster,LONDON,2019-03-22 16:20:28,281.0,100022936033.0,Energy Assessor,Offices,59,1220179
EC4M 7RE,AGL466037,Leasehold,"100 Ludgate Hill, London (EC4M 7RE)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,LEON RESTAURANTS LIMITED,05018441,Limited Company or Public Limited Company,"4th Floor St Margarets House, 18-20 Southwark Street, London DE1 1TJ",,,,,,,,,,,,,,,,,,,,,18-01-2019,N,100 Ludgate Hill,72952100442012111617123422009990,100 Ludgate Hill,100 Ludgate Hill,,EC4M 7RE,340960020000,199,G,B1 Offices and Workshop businesses,2012-11-12,E09000001,E14000639,Greater London Authority,2012-11-16,Mandatory issue (Property to let).,49,129,4,Natural Gas,,,,7947,32.45,31.51,84.03,129.23,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2012-11-16 17:12:34,233.0,100022936040.0,Address Matched,Offices,59,468873
EC4M 7RH,AGL551377,Leasehold,"10 Fleet Place, London (EC4M 7RH)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,INTERPATH LTD,13225134,Limited Company or Public Limited Company,"10 Grosvenor Street, London W1K 4QB",,,,,,,,,,,,,,,,,,,,,02-12-2021,N,10 Fleet Place,111102600022019032216202818020370,10 Fleet Place,10 Fleet Place,,EC4M 7RB,712707880000,94,D,B1 Offices and Workshop businesses,2019-02-07,E09000001,E14000639,Greater London Authority,2019-03-22,Mandatory issue (Property to let).,40,118,5,Natural Gas,,,,20681,25.58,20.65,60.5,48.24,No,,3.0,4.0,Heating and Mechanical Ventilation,City of London,Cities of London and Westminster,LONDON,2019-03-22 16:20:28,281.0,100022936033.0,Energy Assessor,Offices,59,1220179
EC4M 9AF,AGL280596,Leasehold,"1 New Change, London (EC4M 9AF)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,300000.0,CDW LIMITED,02465350,Limited Company or Public Limited Company,"10 Fleet Place, London EC4M 7RB",,,,,,,,,,,,,,,,,,,,,09-04-2020,N,1 New Change,34609240012010070617555703009446,,1 New Change,,EC4M 9AF,463003240000,50,B,Office,2010-05-04,E09000001,E14000639,Greater London Authority,2010-07-06,Mandatory issue (Property on construction).,68,130,5,Natural Gas,,,,35786,24.32,33.3,63.17,24.44,Yes,,3.0,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2010-07-06 17:55:57,,,,Offices,59,2111374
EC4M 9AG,AGL476720,Leasehold,"19 New Change Passage, London (EC4M 9AG)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,MONICA VINADER LIMITED,04428116,Limited Company or Public Limited Company,"1-8, Holkham Studios, Longlands, Holkham Estate, Wells-Next-The-Sea NR23 1SH","9th Floor, Portland House, Bressenden Place, London SW1E 5BH",,,,,,,,,,,,,,,,,,,,16-05-2019,N,19 New Change Passage,79917840242013052216075500400250,,19 New Change Passage,,EC4M 9AG,523904400000,75,C,A1/A2 Retail and Financial/Professional services,2013-05-20,E09000001,E14000639,Greater London Authority,2013-05-22,Mandatory issue (Property to let).,33,88,3,Grid Supplied Electricity,,,,54,71.8,47.2,125.87,107.32,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2013-05-22 16:07:55,,,,Shops,84,4536
EC4M 9AY,AGL531597,Leasehold,"37 Bow Lane, London (EC4M 9AY)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,"NICHOLSON, GRIFFIN & CHARLTON LIMITED",07474649,Limited Company or Public Limited Company,"Ty Derw, Lime Tree Court, Mulberry Drive, Cardiff Gate Business Park, Pontprennau, Cardiff CF23 8AB",,,,,,,,,,,,,,,,,,,,,26-04-2021,N,37 Bow Lane,cface09a6200af4d6f2289acd55fd301fb2ad2a8fba1ff173a7e0c16f7edbb11,,37 Bow Lane,,EC4M 9AY,10003528476,78,D,A1/A2 Retail and Financial/Professional services,2017-09-13,E09000001,E14000639,,2017-09-22,Voluntary (No legal requirement for an EPC).,28,83,3,Grid Supplied Electricity,,,,56,78.94,44.69,130.96,123.41,Yes,,3.0,5.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2017-09-22,730.0,,,Shops,84,4704
EC4M 9BR,AGL578793,Leasehold,"25 Watling Street, London (EC4M 9BR)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,THE INFORMATION LAB LIMITED,07389833,Limited Company or Public Limited Company,"25 Watling Street, London EC4M 9BR","Burgundy Court, 64-66 Springfield Road, Chelmsford CM2 6JY",,MORGAN CAPITAL PROJECTS LIMITED,07665845,Limited Company or Public Limited Company,"5 St. Bride Street, London EC4A 4AS",,,,,,,,,,,,,,,21-10-2022,N,25 Watling Street,76923750022017072516405092030350,,25 Watling Street,,EC4M 9BR,597052200000,41,B,B1 Offices and Workshop businesses,2017-07-07,E09000001,E14000639,Greater London Authority,2017-07-25,Mandatory issue (Property to let).,26,76,4,Grid Supplied Electricity,,,,1975,33.52,17.44,51.12,27.74,Yes,,3.0,5.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2017-07-25 16:40:50,164.0,10092019254.0,Address Matched,Offices,59,116525
EC4M 9BT,AGL482557,Leasehold,"Bracken House, 1 Friday Street, London (EC4M 9BT)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,NIKKEI EUROPE LIMITED,02103187,Limited Company or Public Limited Company,"Hill House, 1 Little New Street, London EC4A 3TR",,,,,,,,,,,,,,,,,,,,,18-07-2019,N,"Bracken House, 1 Friday Street",139863140602018121114181705509990,,Bracken House,1 Friday Street,EC4M 9JA,166914500000,67,C,B1 Offices and Workshop businesses,2018-11-15,E09000001,E14000639,Greater London Authority,2018-12-11,Mandatory issue (Property on construction).,40,106,5,Natural Gas,,,,25824,24.82,19.8,52.8,33.15,Yes,,3.0,2.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2018-12-11 14:18:17,193.0,,,Offices,59,1523616
EC4M 9DL,AGL550185,Leasehold,"49-51 Bow Lane, London (EC4M 9DL)",CITY OF LONDON,GREATER LONDON,GREATER LONDON,N,,PRET A MANGER (EUROPE) LIMITED,01854213,Limited Company or Public Limited Company,"75B Verde, 10 Bressenden Place, London SW1E 5DH","48 Bow Lane, London EC4M 9DL",,,,,,,,,,,,,,,,,,,,31-08-2021,N,49-51 Bow Lane,6424498032008121016101657000409,,49-51 Bow Lane,,EC4M 9DL,997748230000,83,D,Retail,2008-06-25,E09000001,E14000639,Greater London Authority,2008-12-10,Mandatory issue (Marketed sale).,52,80,3,Grid Supplied Electricity,,,,891,74.5,43.03,126.09,83.43,No,,,4.0,Air Conditioning,City of London,Cities of London and Westminster,LONDON,2008-12-10 16:10:16,493.0,200000072045.0,Address Matched,Shops,84,74844
